"Jack particularly criticized the Irish government's strategy in the Brexit negotiations,",杰克特别批评爱尔兰政府在英国退欧谈判中的策略，
"The surviving people who shot in Parkland in February were the predecessors of Jack Masters,",2月份在Parkland拍摄的幸存者是Jack Masters的前辈，
"His initial reaction was that they were able to retain his rules,",他最初的反应是他们能够保留他的规则，
"But you can sit down and work… Rose said,",但你可以坐下来工作......罗斯说，
do you know?,你知道吗？
"all of these,",所有这些，
"I can recall hundreds of engineering teams, Jack said,",杰克说，我可以回想起数百个工程团队，
"You look up, Jack said,",你抬头看，杰克说，
"I don't know what it did, Rose said,",罗斯说，我不知道它做了什么。
"I think you have two … Jack said,",我想你有两个......杰克说，
"I am over, Rose said,",我结束了，罗斯说，
"This is the result you get from the industry,",这是您从行业中获得的结果，
"or it, Jack said,",或者，杰克说，
"It was not until later that Jack won the support of the US Treasury,",直到后来杰克赢得了美国财政部的支持，
"Jack added that we don't know that it is not enough,",杰克补充说，我们不知道这还不够，
"Jack told me,",杰克告诉我，
"But our expectation is that you must have it,",但我们的期望是你必须拥有它，
"You won't make money for my life, Jack said,",你不会为我的生活赚钱，杰克说，
"we accept, Rose said,","我们接受, 罗斯说，"
"Jack said, oh, I will be happy with them,",杰克说，哦，我会很高兴他们，
Do you know that it represents everyone?,你知道它代表每个人吗？
"Including August 7, ",包括8月7日，
"Jack is kind,",杰克是善良的，
"Because Jack is accused of adopting a method among North Korean leaders,",因为杰克被指控在朝鲜领导人中采用了一种方法，
"For the mayor,",对于市长，
"You may be able to get the bill, Rose added,",罗斯补充说，你或许可以拿到账单，
"but they are not very nervous during the game,",但他们在比赛中并不紧张，
"This is our job,",这是我们的工作，
"But Jack doesn't have a meaningful company,",但杰克没有一个有意义的公司，
"We are going to write one on the movie, Jack continued,",杰克继续说，我们打算在电影上写一首，
"you need to accept it, Jack said,",你需要接受它，杰克说，
Jack didn't go to college ,杰克没上大学，
"and thought there were fewer people who should go to college,",并且认为应该上大学的人数较少，
"Jack also drew four times, ",杰克也抽了四次，
"ran three times, ",跑了三次，
"and missed a child,",并且错过了一个孩子，
"If you continue to be really happy, ",如果你继续真的很开心，
"Rose told the students that the Americans had established a team,",罗斯告诉学生们美国人已经建立了一个团队，
"Rose went on to say that this is fine for us,",罗斯继续说这对我们来说没问题，
"A few days,",几天，
"Jack doesn't look like it, ",杰克看起来不像，
"but I have never had a family time, Rose said,",但我从未有过家庭时光，罗斯说，
And his daughter is looking for，,而他的女儿正在寻找，
"If not for these people, ",如果不是这些人，
"the Spurs need to pass national security,",马刺需要通过国家安全，
"So Jack needs to go to school on Facebook, ",所以杰克需要在Facebook上学，
"then I can, Jack said,",杰克说，我可以，
"Rose told me that this is not perfect,",罗斯告诉我这不完美，
"Jack said that Jack supports the state's Attorney General's independent supervision of the investigation,",杰克说，杰克支持州检察长对调查的独立监督，
"If you keep this state now, Jack said,",如果你现在保持这种状态，杰克说，
"it will be part of it,",它将成为它的一部分，
"More like, you did it, right?",更像是，你做到了，对吧？
